Date,Terminid Kills,Automaton Kills,Illuminate Kills,Friendly Kills,Grenade Kills,Melee Kills,Eagle Kills,Deaths,Shots Fired,Shots Hit,Orbitals Used,Defensive Stratagems Used,Eagles Used,Supply Stratagems Used,Reinforce Used,Total Strats Used,Successful Extractions,Obj Completed,Missions Played,Mission Won,In Mission Time,Samples Collected,Total XP Earned
26Feb2025,78632,200079,28615,925,4724,463,54384,7634,731442,378997,8301,13333,16539,2032,11568,55760,2290,13527,2723,2614,931:20:00,47293,3138978
18Feb2026,141911,269858,68094,1159,6646,607,73588,10563,1086355,589656,12535,19422,23418,3343,15551,81766,3128,19432,3716,3557,1290:47:32,63912,4770532
